idx	label	predict	radius	correct	time
0	3	3	0.382	1	0:00:08.150072
100	4	4	0.11	1	0:00:08.147984
200	5	5	0.741	1	0:00:08.153811
300	6	6	0.953	1	0:00:08.150704
400	9	9	0.953	1	0:00:08.155007
500	4	4	0.126	1	0:00:08.149295
600	8	8	0.953	1	0:00:08.151557
700	7	7	0.953	1	0:00:08.153313
800	7	7	0.953	1	0:00:08.154774
900	2	-1	0.0	0	0:00:08.148628
1000	5	5	0.953	1	0:00:08.153497
1100	7	8	0.177	0	0:00:08.152825
1200	8	8	0.269	1	0:00:08.152712
1300	4	4	0.189	1	0:00:08.143335
1400	5	5	0.324	1	0:00:08.147575
1500	1	1	0.892	1	0:00:08.157499
1600	8	9	0.0265	0	0:00:08.152488
1700	5	5	0.397	1	0:00:08.151607
1800	4	0	0.288	0	0:00:08.149907
1900	8	8	0.953	1	0:00:08.160740
2000	1	1	0.913	1	0:00:08.153897
2100	2	2	0.881	1	0:00:08.152053
2200	0	0	0.534	1	0:00:08.149799
2300	3	-1	0.0	0	0:00:08.147597
2400	0	0	0.953	1	0:00:08.150766
2500	4	4	0.283	1	0:00:08.150325
2600	8	8	0.877	1	0:00:08.150919
2700	9	1	0.0362	0	0:00:08.157318
2800	4	4	0.473	1	0:00:08.150984
2900	3	5	0.319	0	0:00:08.154055
3000	5	5	0.953	1	0:00:08.154620
3100	0	0	0.953	1	0:00:08.145911
3200	5	5	0.484	1	0:00:08.154874
3300	4	4	0.0443	1	0:00:08.150375
3400	6	4	0.267	0	0:00:08.150429
3500	1	1	0.403	1	0:00:08.153980
3600	4	2	0.35	0	0:00:08.153136
3700	3	3	0.79	1	0:00:08.149193
3800	9	9	0.485	1	0:00:08.152886
3900	3	6	0.53	0	0:00:08.152068
4000	8	0	0.381	0	0:00:08.163595
4100	7	7	0.953	1	0:00:08.154278
4200	4	-1	0.0	0	0:00:08.151912
4300	8	8	0.434	1	0:00:08.152051
4400	3	3	0.261	1	0:00:08.149202
4500	3	3	0.099	1	0:00:08.156061
4600	4	4	0.394	1	0:00:08.156212
4700	6	5	0.135	0	0:00:08.154444
4800	9	9	0.953	1	0:00:08.158069
4900	3	-1	0.0	0	0:00:08.155090
5000	7	7	0.953	1	0:00:08.158092
5100	3	3	0.803	1	0:00:08.154102
5200	3	3	0.378	1	0:00:08.154047
5300	9	9	0.935	1	0:00:08.154537
5400	9	9	0.766	1	0:00:08.153265
5500	8	8	0.922	1	0:00:08.152891
5600	6	-1	0.0	0	0:00:08.152659
5700	3	3	0.638	1	0:00:08.153878
5800	2	2	0.953	1	0:00:08.153080
5900	4	3	0.112	0	0:00:08.149997
6000	8	8	0.625	1	0:00:08.152458
6100	1	1	0.953	1	0:00:08.158266
6200	3	3	0.465	1	0:00:08.153760
6300	1	1	0.64	1	0:00:08.156767
6400	0	0	0.264	1	0:00:08.153565
6500	7	0	0.0596	0	0:00:08.156088
6600	7	7	0.953	1	0:00:08.158466
6700	6	6	0.596	1	0:00:08.155093
6800	6	6	0.0392	1	0:00:08.151458
6900	3	3	0.535	1	0:00:08.157714
7000	2	8	0.199	0	0:00:08.150168
7100	9	5	0.217	0	0:00:08.157184
7200	4	-1	0.0	0	0:00:08.152443
7300	3	5	0.473	0	0:00:08.156185
7400	3	3	0.527	1	0:00:08.156032
7500	6	6	0.953	1	0:00:08.158154
7600	8	9	0.189	0	0:00:08.151977
7700	6	6	0.913	1	0:00:08.150255
7800	0	0	0.953	1	0:00:08.148372
7900	0	0	0.6	1	0:00:08.154978
8000	9	9	0.741	1	0:00:08.156362
8100	6	2	0.292	0	0:00:08.155259
8200	3	0	0.134	0	0:00:08.155983
8300	5	2	0.0322	0	0:00:08.152248
8400	0	0	0.495	1	0:00:08.150303
8500	4	4	0.496	1	0:00:08.150094
8600	3	-1	0.0	0	0:00:08.157733
8700	3	3	0.534	1	0:00:08.159558
8800	0	0	0.398	1	0:00:08.154389
8900	2	2	0.953	1	0:00:08.153916
9000	8	8	0.953	1	0:00:08.158030
9100	9	1	0.121	0	0:00:08.163287
9200	8	8	0.913	1	0:00:08.151756
9300	5	3	0.14	0	0:00:08.158042
9400	6	6	0.935	1	0:00:08.156554
9500	9	9	0.953	1	0:00:08.159381
9600	8	8	0.614	1	0:00:08.153760
9700	0	0	0.795	1	0:00:08.153661
9800	1	1	0.953	1	0:00:08.160897
9900	8	8	0.881	1	0:00:08.156559
